ClientMacAddr,localtime,Site,Level,lat,lng
d0:e4:0b:fb:a2:6c,2019-08-13 00:10:07,UK Office,3rd Floor,51.46052319,-0.932416607
d0:e4:0b:fb:a2:6c,2019-08-13 00:10:17,UK Office,3rd Floor,51.46052056,-0.93241688
d0:e4:0b:fb:a2:6c,2019-08-13 00:10:27,UK Office,3rd Floor,51.46052319,-0.932416607
d0:e4:0b:fb:a2:6c,2019-08-13 00:10:37,UK Office,3rd Floor,51.46051757,-0.932421509
d0:e4:0b:fb:a2:6c,2019-08-13 00:10:47,UK Office,3rd Floor,51.46051904,-0.932421004
d0:e4:0b:fb:a2:6c,2019-08-13 00:10:57,UK Office,3rd Floor,51.46051904,-0.932421004
d0:e4:0b:fb:a2:6c,2019-08-13 00:20:07,UK Office,3rd Floor,51.46052319,-0.932416607
d0:e4:0b:fb:a2:6c,2019-08-13 00:20:17,UK Office,3rd Floor,51.46052056,-0.93241688
d0:e4:0b:fb:a2:6c,2019-08-13 00:20:27,UK Office,3rd Floor,51.46052319,-0.932416607
d0:e4:0b:fb:a2:6c,2019-08-13 00:20:37,UK Office,3rd Floor,51.46051757,-0.932421509
d0:e4:0b:fb:a2:6c,2019-08-13 00:20:47,UK Office,3rd Floor,51.46051904,-0.932421004
d0:e4:0b:fb:a2:6c,2019-08-13 00:20:57,UK Office,3rd Floor,51.46051904,-0.932421004
